"Season_End_Year","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Year","market_value_euro"
2020,"Nicolás Otamendi","ARG","DF","31",1988,24,18,1715,19.1,2,0,2,2,0,0,3,0,14,78,4,0.1,0,0.1,0.1,0.1,1.9,1.9,0.2,2.1,0.1,0.01,0.11,0.1,0.11,2020,8e+06
2020,"Rodri","ESP","MF","23",1996,35,29,2486,27.6,3,2,5,3,0,0,8,0,41,232,21,0.11,0.07,0.18,0.11,0.18,0.9,0.9,2.6,3.5,0.03,0.09,0.13,0.03,0.13,2020,7e+07
2020,"Bernardo Silva","POR","FW,MF","24",1994,34,23,2030,22.6,6,7,13,6,0,0,5,0,117,122,259,0.27,0.31,0.58,0.27,0.58,6,6,5,10.9,0.26,0.22,0.48,0.26,0.48,2020,7e+07
2020,"Raheem Sterling","ENG","FW","24",1994,33,30,2651,29.5,20,1,21,20,0,2,5,0,151,100,429,0.68,0.03,0.71,0.68,0.71,18.2,16.4,6.2,22.7,0.62,0.21,0.83,0.56,0.77,2020,9e+07
2020,"John Stones","ENG","DF","25",1994,16,12,1122,12.5,0,0,0,0,0,0,0,0,22,83,1,0,0,0,0,0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,2020,3e+07
2020,"Kyle Walker","ENG","DF","29",1990,29,28,2392,26.6,1,4,5,1,0,0,5,0,107,194,121,0.04,0.15,0.19,0.04,0.19,1.2,1.2,1.5,2.7,0.05,0.06,0.1,0.05,0.1,2020,2.8e+07
2020,"Oleksandr Zinchenko","UKR","DF","22",1996,19,13,1276,14.2,0,0,0,0,0,0,2,1,37,114,134,0,0,0,0,0,0.5,0.5,1.5,2,0.03,0.11,0.14,0.03,0.14,2020,2.5e+07
2020,"Eric Bailly","CIV","DF","25",1994,4,1,150,1.7,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1.5e+07
2020,"Diogo Dalot","POR","DF,MF","20",1999,4,1,67,0.7,0,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,0.3,0.3,0,0.3,0.39,0,0.39,0.39,0.39,2020,1e+07
2020,"Bruno Fernandes","POR","MF","24",1994,14,14,1186,13.2,8,7,15,4,4,4,2,0,34,110,92,0.61,0.53,1.14,0.3,0.83,6.2,3,2.5,5.5,0.47,0.19,0.66,0.23,0.42,2020,9e+07
2020,"Timothy Fosu-Mensah","NED","DF","21",1998,3,2,136,1.5,0,0,0,0,0,0,1,0,4,4,11,0,0,0,0,0,0.1,0.1,0.1,0.2,0.05,0.07,0.11,0.05,0.11,2020,4e+06
2020,"Fred","BRA","MF","26",1993,29,23,2163,24,0,0,0,0,0,0,8,0,28,158,39,0,0,0,0,0,1.7,1.7,2.1,3.8,0.07,0.09,0.16,0.07,0.16,2020,2.2e+07
2020,"David de Gea","ESP","GK","28",1990,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1.8e+07
2020,"Mason Greenwood","ENG","FW","17",2001,31,12,1320,14.7,10,1,11,10,0,0,0,0,32,37,116,0.68,0.07,0.75,0.68,0.75,2.9,2.9,1,3.9,0.2,0.07,0.27,0.2,0.27,2020,5e+07
2020,"Odion Ighalo","NGA","FW","30",1989,11,0,101,1.1,0,0,0,0,0,0,0,0,2,2,13,0,0,0,0,0,1.9,1.9,0.1,2,1.68,0.07,1.75,1.68,1.75,2020,3500000
2020,"Daniel James","WAL","FW","21",1997,33,26,2287,25.4,3,6,9,3,0,0,4,0,140,60,263,0.12,0.24,0.35,0.12,0.35,3.1,3.1,3.9,7,0.12,0.15,0.28,0.12,0.28,2020,1.8e+07
2020,"Phil Jones","ENG","DF","27",1992,2,2,135,1.5,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09,2020,5e+06
2020,"Victor Lindelöf","SWE","DF","25",1994,35,35,3092,34.4,1,0,1,1,0,0,6,0,16,111,3,0.03,0,0.03,0.03,0.03,0.3,0.3,0.3,0.7,0.01,0.01,0.02,0.01,0.02,2020,2.4e+07
2020,"Jesse Lingard","ENG","MF,FW","26",1992,22,9,935,10.4,1,0,1,1,0,0,3,0,28,45,73,0.1,0,0.1,0.1,0.1,1.9,1.9,1,2.9,0.18,0.09,0.28,0.18,0.28,2020,2.2e+07
2020,"Jesse Lingard","ENG","MF,FW","26",1992,22,9,935,10.4,1,0,1,1,0,0,3,0,28,45,73,0.1,0,0.1,0.1,0.1,1.9,1.9,1,2.9,0.18,0.09,0.28,0.18,0.28,2020,2.2e+07
2020,"Harry Maguire","ENG","DF","26",1993,38,38,3420,38,1,1,2,1,0,0,6,0,69,171,10,0.03,0.03,0.05,0.03,0.05,2.1,2.1,1.4,3.4,0.06,0.04,0.09,0.05,0.09,2020,4.5e+07
2020,"Anthony Martial","FRA","FW","23",1995,32,31,2624,29.2,17,6,23,17,0,1,1,0,76,82,275,0.58,0.21,0.79,0.58,0.79,12.1,11.3,4.4,15.7,0.41,0.15,0.56,0.39,0.54,2020,4.5e+07
