Year,Squad,Comp,Player
2020,Bordeaux,Ligue 1,Yacine Adli
2020,Bordeaux,Ligue 1,Youssef Aït Bennasser
2020,Bordeaux,Ligue 1,Toma Bašić
2020,Bordeaux,Ligue 1,Raoul Bellanova
2020,Bordeaux,Ligue 1,Loris Benito
2020,Bordeaux,Ligue 1,Yassine Benrahou
2020,Bordeaux,Ligue 1,Jimmy Briand
2020,Bordeaux,Ligue 1,Jonathan Cafu
2020,Bordeaux,Ligue 1,Benoît Costil
2020,Bordeaux,Ligue 1,Vukašin Jovanović
2020,Bordeaux,Ligue 1,Samuel Kalu
2020,Bordeaux,Ligue 1,François Kamano
2020,Bordeaux,Ligue 1,Laurent Koscielny
2020,Bordeaux,Ligue 1,Enock Kwateng
2020,Bordeaux,Ligue 1,Albert Lottin
2020,Bordeaux,Ligue 1,Josh Maja
2020,Bordeaux,Ligue 1,Mexer
2020,Bordeaux,Ligue 1,Otávio
2020,Bordeaux,Ligue 1,Remi Oudin
2020,Bordeaux,Ligue 1,Pablo
2020,Bordeaux,Ligue 1,Rubén Pardo
2020,Bordeaux,Ligue 1,Maxime Poundjé
2020,Bordeaux,Ligue 1,Nicolas de Préville
2020,Bordeaux,Ligue 1,Youssouf Sabaly
2020,Bordeaux,Ligue 1,Aurélien Tchouaméni
2020,Bordeaux,Ligue 1,Hwang Ui-jo
2020,Bournemouth,Premier League,Nathan Aké
2020,Bournemouth,Premier League,Philip Billing
2020,Bournemouth,Premier League,David Brooks
2020,Bournemouth,Premier League,Lewis Cook
2020,Bournemouth,Premier League,Steve Cook
2020,Bournemouth,Premier League,Charlie Daniels
2020,Bournemouth,Premier League,Arnaut Danjuma
2020,Bournemouth,Premier League,Simon Francis
2020,Bournemouth,Premier League,Ryan Fraser
2020,Bournemouth,Premier League,Dan Gosling
2020,Bournemouth,Premier League,Jordon Ibe
2020,Bournemouth,Premier League,Lloyd Kelly
2020,Bournemouth,Premier League,Joshua King
2020,Bournemouth,Premier League,Jefferson Lerma
2020,Bournemouth,Premier League,Chris Mepham
2020,Bournemouth,Premier League,Aaron Ramsdale
2020,Bournemouth,Premier League,Diego Rico
2020,Bournemouth,Premier League,Jack Simpson
2020,Bournemouth,Premier League,Adam Smith
2020,Bournemouth,Premier League,Dominic Solanke
2020,Bournemouth,Premier League,Jack Stacey
2020,Bournemouth,Premier League,Junior Stanislas
2020,Bournemouth,Premier League,Andrew Surman
2020,Bournemouth,Premier League,Sam Surridge
2020,Bournemouth,Premier League,Mark Travers
2020,Bournemouth,Premier League,Callum Wilson
2020,Bournemouth,Premier League,Harry Wilson
2020,Brescia,Serie A,Enrico Alfonso
2020,Brescia,Serie A,Lorenzo Andrenacci
2020,Brescia,Serie A,Florian Ayé
2020,Brescia,Serie A,Mario Balotelli
2020,Brescia,Serie A,Dimitri Bisoli
2020,Brescia,Serie A,Birkir Bjarnason
2020,Brescia,Serie A,Jhon Chancellor
2020,Brescia,Serie A,Andrea Cistana
2020,Brescia,Serie A,Felipe Curcio
2020,Brescia,Serie A,Daniele Dessena
2020,Brescia,Serie A,Alfredo Donnarumma
2020,Brescia,Serie A,Daniele Gastaldello
2020,Brescia,Serie A,Andrea Ghezzi
2020,Brescia,Serie A,Jesse Joronen
2020,Brescia,Serie A,Giangiacomo Magnani
2020,Brescia,Serie A,Massimiliano Mangraviti
2020,Brescia,Serie A,Bruno Martella
2020,Brescia,Serie A,Aleš Matějů
2020,Brescia,Serie A,Alessandro Matri
2020,Brescia,Serie A,Leonardo Morosini
2020,Brescia,Serie A,Emanuele Ndoj
2020,Brescia,Serie A,Andrea Papetti
